denumire client,numar factura,total,rest plata,zona / agent
FLORIMONA SRL DEVA,DMEG 8943,446.71,446.71,Hunedoara
FREDYLUCI INVENT S.R.L. HATEG,DMEG 8892,634.15,634.15,Hunedoara
GARAGE MARIUS & PAUL SRL NALAT-VAD,DMEG 1105,1854.68,598.82,Hunedoara
GEASIL AUTOSERV S.R.L. SAT SANTAMARIA-ORLEA  SAN,DMEG 8928,271.16,271.16,Hunedoara
GLOBAL ELECTRONIC SRL ORASTIE,DMEG 8961,5049.43,100,Hunedoara
GOW TOTAL SERVICE S.R.L. SAT SANTIMBRU  SANTIMBRU,DMEG 4530,8148.44,4148.44,Alba
GOW TOTAL SERVICE S.R.L. SAT SANTIMBRU  SANTIMBRU,DMEG 4792,2326.6,2326.6,Alba
HOLDING TRANSILVANIA S.R.L. TEIUS,DMEG 7900,196.96,13.94,Alba
HOLDING TRANSILVANIA S.R.L. TEIUS,DMEG 8153,632.58,632.58,Alba
HOLDING TRANSILVANIA S.R.L. TEIUS,DMEG 8209,188.74,188.74,Alba
HOLDING TRANSILVANIA S.R.L. TEIUS,DMEG 8275,822.61,822.61,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 6870,6571.11,1565.07,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 7194,67.39,67.39,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 7565,235.12,235.12,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 7593,7257.6,7257.6,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 8066,6111.13,6111.13,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 8100,185.97,185.97,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 8171,204.69,204.69,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 8349,341.16,341.16,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 8430,204.66,204.66,Alba
INTERNATIONAL INTERN-SERVICE SRL ALBA IULIA,DMEG 8697,2520.78,2520.78,Alba
KAMPA STIL S.R.L. ALBA IULIA,DMEG 8848,448.44,448.44,Alba
KEVYAN AUTO KLEIN SRL HUNEDOARA,DMEG 8802,1109.76,289.12,Hunedoara
KEVYAN AUTO KLEIN SRL HUNEDOARA,DMEG 8819,243.15,243.15,Hunedoara
KEVYAN AUTO KLEIN SRL HUNEDOARA,DMEG 8879,467.73,467.73,Hunedoara
KEVYAN AUTO KLEIN SRL HUNEDOARA,DMEG 8933,1591.95,1591.95,Hunedoara
KING INVEST SRL ALBA IULIA,DMEG 8853,507.56,507.56,Alba
KING INVEST SRL ALBA IULIA,DMEG 8954,659.4,659.4,Alba
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 7960,298.19,70.8,Hunedoara
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 8040,143.43,143.43,Hunedoara
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 8075,666.99,666.99,Hunedoara
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 8249,570.26,570.26,Hunedoara
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 8366,97.98,97.98,Hunedoara
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 8405,321.5,321.5,Hunedoara
LASCAUTODIVERS L.C.I. S.R.L. HATEG,DMEG 8927,436.49,436.49,Hunedoara
LAZAR AUTO ASSISTANCE SRL DEVA,DMEG 7720,8550.85,6550.4,Hunedoara
LAZAR AUTO ASSISTANCE SRL DEVA,DMEG 8692,6602.62,6602.62,Hunedoara
M & N ANCA STORE S.R.L. ABRUD,DMEG 8868,188.76,188.76,Alba
MADI AUTO CLEAN SRL AIUD,DMEG 8841,981.11,981.11,Alba
MOJIK SERVICE S.R.L. SAT PIRITA  ZLATNA,DMEG 8835,686.99,686.99,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8312,2755.5,2654.72,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8355,1051.14,1051.14,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8373,50.64,50.64,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8397,380.31,380.31,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8435,367.8,367.8,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8542,185.97,185.97,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8746,288.84,288.84,Alba
MOLDO CENTER S.R.L. ALBA IULIA,DMEG 8957,412.7,412.7,Alba
MTG AUTO MOTO SRL AIUD,DMEG 8314,886.1,638.34,Alba
MTG AUTO MOTO SRL AIUD,DMEG 8346,239.52,239.52,Alba
MTG AUTO MOTO SRL AIUD,DMEG 8700,498.92,498.92,Alba
MTG AUTO MOTO SRL AIUD,DMEG 8882,286.82,286.82,Alba
NATALY COM IMPEX S.R.L. BRAD,DMEG 8844,2283.45,2283.45,Hunedoara
NATALY COM IMPEX S.R.L. BRAD,DMEG 8908,809.77,809.77,Hunedoara
NEOAUTO STAN S.R.L. CIULDESTI  BISTRA,DMEG 8820,377.4,377.4,Alba
NEOAUTO STAN S.R.L. CIULDESTI  BISTRA,DMEG 8866,698.2,698.2,Alba
NEOAUTO STAN S.R.L. CIULDESTI  BISTRA,DMEG 8900,904.49,904.49,Alba
NEOAUTO STAN S.R.L. CIULDESTI  BISTRA,DMEG 8939,1206.99,1206.99,Alba
NEOAUTO STAN S.R.L. CIULDESTI  BISTRA,DMEG 8972,1622.56,1622.56,Alba
OLIDAN TRANS SRL HATEG,DMEG 6934,1525.12,1525.12,Hunedoara
